time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
02:14:00,0.0,1.0,0.0,0.734242584310739,0.3059344101294746,0.9178032303884237,1.2602521092652776,0.700140060702932,1.1688792765299043,0.4415028789777549,0.1984852169246034,0.0,2.8320000000000003e-05,0.0
02:15:00,0.0,1.0,0.0,0.7696399435075125,0.3206833097947969,0.9620499293843906,1.2621886329528944,0.7012159071960524,1.1880490927882317,0.445501826804722,0.1957741600298494,0.0,-2.8320000000000003e-05,0.0
02:16:00,0.0,1.0,0.0,0.7622277055234505,0.31759487730143776,0.9527846319043132,1.2595900255458286,0.6997722364143492,1.162183795149553,0.45979114978269203,0.19313550612690145,0.0,2.8320000000000003e-05,0.0
02:17:00,0.0,1.0,0.0,0.7773170539157594,0.3238821057982331,0.9716463173946993,1.262159633944116,0.7011997966356199,1.1877662340356192,0.46794644264604235,0.19056861994173485,0.0,-2.8320000000000003e-05,0.0
02:18:00,0.0,1.0,0.0,0.7931714266768907,0.3304880944487045,0.9914642833461133,1.260293325949981,0.7001629588611005,1.1692931457088234,0.47551400268383115,0.18806367856536516,0.0,2.8320000000000003e-05,0.0
02:19:00,0.0,1.0,0.0,0.7849765388120536,0.3270735578383557,0.981220673515067,1.2609386893387482,0.7005214940770823,1.1757438930591508,0.488628443092986,0.1856212518477613,0.0,2.8320000000000003e-05,0.0
02:20:00,0.0,1.0,1.0,0.6759638032959794,0.2816515847066581,0.8449547541199742,1.3272822517120122,0.7373790287288956,1.2911680159591288,0.4821306702602744,0.18323558515411256,0.4259409044340212,0.3894048386635648,0.0
02:21:00,0.0,1.0,1.0,0.6908544152376966,0.2878560063490403,0.8635680190471208,1.415370924461149,0.7863171802561939,1.278941961603332,0.4244762602968376,0.18088576144316704,0.44086080385130666,0.45067051244091877,0.0
02:22:00,0.0,1.0,1.0,0.6542016806944984,0.27258403362270767,0.8177521008681229,1.5371198050203334,0.8539554472335186,1.5033808981782806,0.3791443202715902,0.17855392341705537,0.40419559216939704,0.3714927757219821,0.0
02:23:00,0.0,1.0,1.0,0.5882770492451845,0.24511543718549356,0.7353463115564807,1.6368897350003542,0.9093831861113079,1.4935235699076046,0.34763530769605916,0.17623786223908397,0.33827174713419794,0.32036730697415455,0.0
02:24:00,0.0,1.0,0.0,0.7189942269545144,0.29958092789771434,0.898742783693143,1.6643507575940057,0.9246393097744476,1.6175404974864047,0.31965282863623606,0.1739363290088921,0.0,-2.8320000000000003e-05,0.0
02:25:00,0.0,1.0,0.0,0.6389400194422965,0.2662250081009569,0.7986750243028706,1.658217134890549,0.9212317416058605,1.5495081417761272,0.3517560149104189,0.17166617856122382,0.0,2.8320000000000003e-05,0.0
